in s,C1 in V
-1.7399987E-02,1.194101E+01
-1.7399722E-02,1.193515E+01
-1.7399456E-02,1.194101E+01
-1.7399190E-02,1.193515E+01
-1.7398925E-02,1.193515E+01
-1.7398659E-02,1.193320E+01
-1.7398394E-02,1.194101E+01
-1.7398128E-02,1.192929E+01
-1.7397862E-02,1.193124E+01
-1.7397597E-02,1.193515E+01
-1.7397331E-02,1.193320E+01
-1.7397066E-02,1.193320E+01
-1.7396800E-02,1.193124E+01
-1.7396534E-02,1.193124E+01
-1.7396269E-02,1.193710E+01
-1.7396003E-02,1.193320E+01
-1.7395738E-02,1.193124E+01
-1.7395472E-02,1.193320E+01
-1.7395206E-02,1.193124E+01
-1.7394941E-02,1.193124E+01
-1.7394675E-02,1.192929E+01
-1.7394410E-02,1.193515E+01
-1.7394144E-02,1.193515E+01
-1.7393878E-02,1.193710E+01
-1.7393613E-02,1.193124E+01
-1.7393347E-02,1.193515E+01
-1.7393082E-02,1.193515E+01
-1.7392816E-02,1.193320E+01
-1.7392550E-02,1.193905E+01
-1.7392285E-02,1.192734E+01
-1.7392019E-02,1.193905E+01
-1.7391754E-02,1.192734E+01
-1.7391488E-02,1.192929E+01
-1.7391222E-02,1.193515E+01
-1.7390957E-02,1.193320E+01
-1.7390691E-02,1.193320E+01
-1.7390426E-02,1.193710E+01
-1.7390160E-02,1.192538E+01
-1.7389894E-02,1.193515E+01
-1.7389629E-02,1.193515E+01
-1.7389363E-02,1.192734E+01
-1.7389098E-02,1.193124E+01
-1.7388832E-02,1.193320E+01
-1.7388566E-02,1.193320E+01
-1.7388301E-02,1.192929E+01
-1.7388035E-02,1.193124E+01
-1.7387770E-02,1.193905E+01
-1.7387504E-02,1.192929E+01
-1.7387238E-02,1.192734E+01
-1.7386973E-02,1.192734E+01
-1.7386707E-02,1.193124E+01
-1.7386442E-02,1.193124E+01
-1.7386176E-02,1.193320E+01
-1.7385910E-02,1.193124E+01
-1.7385645E-02,1.192929E+01
-1.7385379E-02,1.193320E+01
-1.7385114E-02,1.192929E+01
-1.7384848E-02,1.192929E+01
-1.7384582E-02,1.194101E+01
-1.7384317E-02,1.193320E+01
-1.7384051E-02,1.193124E+01
-1.7383786E-02,1.193710E+01
-1.7383520E-02,1.193320E+01
-1.7383254E-02,1.193320E+01
-1.7382989E-02,1.192929E+01
-1.7382723E-02,1.194687E+01
-1.7382458E-02,1.193515E+01
-1.7382192E-02,1.193124E+01
-1.7381926E-02,1.193320E+01
-1.7381661E-02,1.193710E+01
-1.7381395E-02,1.192929E+01
-1.7381130E-02,1.192929E+01
-1.7380864E-02,1.193515E+01
-1.7380598E-02,1.193320E+01
-1.7380333E-02,1.192929E+01
-1.7380067E-02,1.193515E+01
-1.7379802E-02,1.193515E+01
-1.7379536E-02,1.193710E+01
-1.7379270E-02,1.193124E+01
-1.7379005E-02,1.193320E+01
-1.7378739E-02,1.192929E+01
-1.7378474E-02,1.193124E+01
-1.7378208E-02,1.193515E+01
-1.7377942E-02,1.193905E+01
-1.7377677E-02,1.192538E+01
-1.7377411E-02,1.193124E+01
-1.7377146E-02,1.193515E+01
-1.7376880E-02,1.193515E+01
-1.7376614E-02,1.193515E+01
-1.7376349E-02,1.193124E+01
-1.7376083E-02,1.193710E+01
-1.7375818E-02,1.193124E+01
-1.7375552E-02,1.193515E+01
-1.7375286E-02,1.193124E+01
-1.7375021E-02,1.192929E+01
-1.7374755E-02,1.193124E+01
-1.7374490E-02,1.192929E+01
-1.7374224E-02,1.192929E+01
-1.7373958E-02,1.193320E+01
-1.7373693E-02,1.194101E+01
-1.7373427E-02,1.193124E+01
-1.7373162E-02,1.193515E+01
-1.7372896E-02,1.194101E+01
-1.7372630E-02,1.192929E+01
-1.7372365E-02,1.193320E+01
-1.7372099E-02,1.192929E+01
-1.7371834E-02,1.193905E+01
-1.7371568E-02,1.193124E+01
-1.7371302E-02,1.192538E+01
-1.7371037E-02,1.192734E+01
-1.7370771E-02,1.192929E+01
-1.7370506E-02,1.193124E+01
-1.7370240E-02,1.193320E+01
-1.7369974E-02,1.193124E+01
-1.7369709E-02,1.194101E+01
-1.7369443E-02,1.193710E+01
-1.7369178E-02,1.193320E+01
-1.7368912E-02,1.193124E+01
-1.7368646E-02,1.192734E+01
-1.7368381E-02,1.193710E+01
-1.7368115E-02,1.192929E+01
-1.7367850E-02,1.193710E+01
-1.7367584E-02,1.192929E+01
-1.7367318E-02,1.193320E+01
-1.7367053E-02,1.193124E+01
-1.7366787E-02,1.192734E+01
-1.7366522E-02,1.193515E+01
-1.7366256E-02,1.192734E+01
-1.7365990E-02,1.193515E+01
-1.7365725E-02,1.192538E+01
-1.7365459E-02,1.193710E+01
-1.7365194E-02,1.193905E+01
-1.7364928E-02,1.193905E+01
-1.7364662E-02,1.193515E+01
-1.7364397E-02,1.192538E+01
-1.7364131E-02,1.193124E+01
-1.7363866E-02,1.193124E+01
-1.7363600E-02,1.193124E+01
-1.7363334E-02,1.193905E+01
-1.7363069E-02,1.193124E+01
-1.7362803E-02,1.193515E+01
-1.7362538E-02,1.193320E+01
-1.7362272E-02,1.192929E+01
-1.7362006E-02,1.193124E+01
-1.7361741E-02,1.192929E+01
-1.7361475E-02,1.192929E+01
-1.7361210E-02,1.193124E+01
-1.7360944E-02,1.192929E+01
-1.7360678E-02,1.193124E+01
-1.7360413E-02,1.193320E+01
-1.7360147E-02,1.192538E+01
-1.7359882E-02,1.193124E+01
-1.7359616E-02,1.192929E+01
-1.7359350E-02,1.193124E+01
-1.7359085E-02,1.192734E+01
-1.7358819E-02,1.193320E+01
-1.7358554E-02,1.193515E+01
-1.7358288E-02,1.192343E+01
-1.7358022E-02,1.192538E+01
-1.7357757E-02,1.192929E+01
-1.7357491E-02,1.193515E+01
-1.7357226E-02,1.193320E+01
-1.7356960E-02,1.192929E+01
-1.7356694E-02,1.193124E+01
-1.7356429E-02,1.192929E+01
-1.7356163E-02,1.193515E+01
-1.7355898E-02,1.192929E+01
-1.7355632E-02,1.192929E+01
-1.7355366E-02,1.193710E+01
-1.7355101E-02,1.192929E+01
-1.7354835E-02,1.193124E+01
-1.7354570E-02,1.193515E+01
-1.7354304E-02,1.193124E+01
-1.7354038E-02,1.193320E+01
-1.7353773E-02,1.193320E+01
-1.7353507E-02,1.192148E+01
-1.7353242E-02,1.192929E+01
-1.7352976E-02,1.192929E+01
-1.7352710E-02,1.193320E+01
-1.7352445E-02,1.193515E+01
-1.7352179E-02,1.193515E+01
-1.7351914E-02,1.193515E+01
-1.7351648E-02,1.192538E+01
-1.7351382E-02,1.193320E+01
-1.7351117E-02,1.193710E+01
-1.7350851E-02,1.192734E+01
-1.7350586E-02,1.193515E+01
-1.7350320E-02,1.193710E+01
-1.7350054E-02,1.193710E+01
-1.7349789E-02,1.192929E+01
-1.7349523E-02,1.193710E+01
-1.7349258E-02,1.193515E+01
-1.7348992E-02,1.193515E+01
-1.7348726E-02,1.194101E+01
-1.7348461E-02,1.193124E+01
-1.7348195E-02,1.193320E+01
-1.7347930E-02,1.193320E+01
-1.7347664E-02,1.193710E+01
-1.7347398E-02,1.193320E+01
-1.7347133E-02,1.192929E+01
-1.7346867E-02,1.193124E+01
-1.7346602E-02,1.193124E+01
-1.7346336E-02,1.193905E+01
-1.7346070E-02,1.192929E+01
-1.7345805E-02,1.193320E+01
-1.7345539E-02,1.193320E+01
-1.7345274E-02,1.193320E+01
-1.7345008E-02,1.193124E+01
-1.7344742E-02,1.193320E+01
-1.7344477E-02,1.193124E+01
-1.7344211E-02,1.193124E+01
-1.7343946E-02,1.193320E+01
-1.7343680E-02,1.193320E+01
-1.7343414E-02,1.193124E+01
-1.7343149E-02,1.193124E+01
-1.7342883E-02,1.193320E+01
-1.7342618E-02,1.193905E+01
-1.7342352E-02,1.193710E+01
-1.7342086E-02,1.193905E+01
-1.7341821E-02,1.193515E+01
-1.7341555E-02,1.194101E+01
-1.7341290E-02,1.193124E+01
-1.7341024E-02,1.192929E+01
-1.7340758E-02,1.192929E+01
-1.7340493E-02,1.193320E+01
-1.7340227E-02,1.193710E+01
-1.7339962E-02,1.193320E+01
-1.7339696E-02,1.193124E+01
