in s,C1 in V
-1.9798912E-02,1.18246E+01
-1.9798608E-02,1.18246E+01
-1.9798304E-02,1.17660E+01
-1.9798000E-02,1.17270E+01
-1.9797696E-02,1.18441E+01
-1.9797392E-02,1.17855E+01
-1.9797088E-02,1.18051E+01
-1.9796784E-02,1.17270E+01
-1.9796480E-02,1.18246E+01
-1.9796176E-02,1.17660E+01
-1.9795872E-02,1.18051E+01
-1.9795568E-02,1.18246E+01
-1.9795264E-02,1.17465E+01
-1.9794960E-02,1.17660E+01
-1.9794656E-02,1.17855E+01
-1.9794352E-02,1.18051E+01
-1.9794048E-02,1.18051E+01
-1.9793744E-02,1.18246E+01
-1.9793440E-02,1.18832E+01
-1.9793136E-02,1.17660E+01
-1.9792832E-02,1.18051E+01
-1.9792528E-02,1.17855E+01
-1.9792224E-02,1.17074E+01
-1.9791920E-02,1.18246E+01
-1.9791616E-02,1.17660E+01
-1.9791312E-02,1.17660E+01
-1.9791008E-02,1.17855E+01
-1.9790704E-02,1.17660E+01
-1.9790400E-02,1.17660E+01
-1.9790096E-02,1.17465E+01
-1.9789792E-02,1.18246E+01
-1.9789488E-02,1.17660E+01
-1.9789184E-02,1.17465E+01
-1.9788880E-02,1.18441E+01
-1.9788576E-02,1.17465E+01
-1.9788272E-02,1.18441E+01
-1.9787968E-02,1.17465E+01
-1.9787664E-02,1.17465E+01
-1.9787360E-02,1.17465E+01
-1.9787056E-02,1.18051E+01
-1.9786752E-02,1.18051E+01
-1.9786448E-02,1.18246E+01
-1.9786144E-02,1.17465E+01
-1.9785840E-02,1.17465E+01
-1.9785536E-02,1.18441E+01
-1.9785232E-02,1.18246E+01
-1.9784928E-02,1.17465E+01
-1.9784624E-02,1.17855E+01
-1.9784320E-02,1.18051E+01
-1.9784016E-02,1.17660E+01
-1.9783712E-02,1.17465E+01
-1.9783408E-02,1.17660E+01
-1.9783104E-02,1.17660E+01
-1.9782800E-02,1.18051E+01
-1.9782496E-02,1.18637E+01
-1.9782192E-02,1.17465E+01
-1.9781888E-02,1.17660E+01
-1.9781584E-02,1.18441E+01
-1.9781280E-02,1.17855E+01
-1.9780976E-02,1.18246E+01
-1.9780672E-02,1.17465E+01
-1.9780368E-02,1.17660E+01
-1.9780064E-02,1.17855E+01
-1.9779760E-02,1.17855E+01
-1.9779456E-02,1.17660E+01
-1.9779152E-02,1.18637E+01
-1.9778848E-02,1.17855E+01
-1.9778544E-02,1.18441E+01
-1.9778240E-02,1.18637E+01
-1.9777936E-02,1.18246E+01
-1.9777632E-02,1.18246E+01
-1.9777328E-02,1.18051E+01
-1.9777024E-02,1.18441E+01
-1.9776720E-02,1.18246E+01
-1.9776416E-02,1.18832E+01
-1.9776112E-02,1.17660E+01
-1.9775808E-02,1.18441E+01
-1.9775504E-02,1.17660E+01
-1.9775200E-02,1.18832E+01
-1.9774896E-02,1.17660E+01
-1.9774592E-02,1.18637E+01
-1.9774288E-02,1.18441E+01
-1.9773984E-02,1.18246E+01
-1.9773680E-02,1.18051E+01
-1.9773376E-02,1.17270E+01
-1.9773072E-02,1.18246E+01
-1.9772768E-02,1.17855E+01
-1.9772464E-02,1.17660E+01
-1.9772160E-02,1.18441E+01
-1.9771856E-02,1.17465E+01
-1.9771552E-02,1.17855E+01
-1.9771248E-02,1.17855E+01
-1.9770944E-02,1.18051E+01
-1.9770640E-02,1.17660E+01
-1.9770336E-02,1.17855E+01
-1.9770032E-02,1.18051E+01
-1.9769728E-02,1.18441E+01
-1.9769424E-02,1.17855E+01
-1.9769120E-02,1.17660E+01
-1.9768816E-02,1.17660E+01
-1.9768512E-02,1.19027E+01
-1.9768208E-02,1.18051E+01
-1.9767904E-02,1.17270E+01
-1.9767600E-02,1.17660E+01
-1.9767296E-02,1.18051E+01
-1.9766992E-02,1.18246E+01
-1.9766688E-02,1.17660E+01
-1.9766384E-02,1.17074E+01
-1.9766080E-02,1.17855E+01
-1.9765776E-02,1.18051E+01
-1.9765472E-02,1.17660E+01
-1.9765168E-02,1.18246E+01
-1.9764864E-02,1.18246E+01
-1.9764560E-02,1.18246E+01
-1.9764256E-02,1.17660E+01
-1.9763952E-02,1.17465E+01
-1.9763648E-02,1.18051E+01
-1.9763344E-02,1.17465E+01
-1.9763040E-02,1.17465E+01
